,Id,postera_SAScore,postera_minNumSteps
117,ANT-DIA-045cfdc4-1,0.28882864,1.0
118,ANT-DIA-045cfdc4-2,0.2884135,1.0
119,ANT-DIA-045cfdc4-3,0.28531307,1.0
120,ANT-DIA-045cfdc4-4,0.281643,1.0
121,ANT-DIA-045cfdc4-5,0.28392315,1.0
122,TRY-UNI-714a760b-1,0.092657715,1.0
123,TRY-UNI-714a760b-2,0.09795787,1.0
124,TRY-UNI-714a760b-3,0.0,0.0
125,ALE-HEI-f28a35b5-1,0.0,0.0
126,TRY-UNI-714a760b-5,0.05296112,0.0
127,TRY-UNI-714a760b-6,0.0,0.0
128,TRY-UNI-714a760b-7,0.092306875,1.0
129,TRY-UNI-714a760b-8,0.09593837,1.0
130,TRY-UNI-714a760b-9,0.097960465,1.0
131,ALE-HEI-f28a35b5-6,0.0,0.0
132,ALE-HEI-f28a35b5-7,0.0,0.0
133,TRY-UNI-714a760b-12,0.0,0.0
134,TRY-UNI-714a760b-13,0.1716633,1.0
135,TRY-UNI-714a760b-14,0.1640802,1.0
136,TRY-UNI-714a760b-15,0.1841227,1.0
137,TRY-UNI-714a760b-16,0.0,0.0
138,TRY-UNI-714a760b-17,0.0,0.0
139,TRY-UNI-714a760b-18,0.0,0.0
140,TRY-UNI-714a760b-19,0.11331576,1.0
141,TRY-UNI-714a760b-20,0.0,0.0
142,TRY-UNI-714a760b-21,0.17110983,1.0
143,TRY-UNI-714a760b-22,0.0,0.0
144,TRY-UNI-714a760b-23,0.13344187,1.0
145,TRY-UNI-714a760b-24,0.0,0.0
146,TRY-UNI-1fd04853-1,0.16525225,2.0
147,TRY-UNI-1fd04853-2,0.13784775,1.0
148,TRY-UNI-1fd04853-3,0.16545,2.0
149,TRY-UNI-1fd04853-4,0.27128538,3.0
150,TRY-UNI-1fd04853-5,0.0,0.0
151,TRY-UNI-1fd04853-6,0.054274403,0.0
152,TRY-UNI-1fd04853-7,0.0,0.0
153,TRY-UNI-1fd04853-8,0.0,0.0
154,TRY-UNI-1fd04853-9,0.0,0.0
155,TRY-UNI-1fd04853-10,0.0,0.0
156,TRY-UNI-1fd04853-11,0.0,0.0
157,TRY-UNI-1fd04853-12,0.0,0.0
158,PAU-WEI-c6d65c11-1,0.37205514,2.0
159,ANT-DIA-b7f58f21-1,0.0,0.0
160,ANT-DIA-b7f58f21-2,0.0,0.0
161,ANT-DIA-b7f58f21-3,0.0,0.0
162,ANT-DIA-b7f58f21-4,0.0,0.0
163,ANT-DIA-b7f58f21-5,0.0,0.0
164,ANT-DIA-b7f58f21-6,0.08533053,1.0
165,ANT-DIA-b7f58f21-7,0.053349975,0.0
166,ANT-DIA-b7f58f21-9,0.13677502,1.0
167,PAT-UNK-b2d83456-1,0.0,0.0
168,PAT-UNK-b2d83456-2,0.08648134,1.0
169,PAT-UNK-b2d83456-3,0.08491276,1.0
170,PAT-UNK-b2d83456-4,0.16902168,2.0
171,PAT-UNK-b2d83456-5,0.24626286,3.0
172,CAR-INS-33b3c115-1,0.17082044,1.0
173,CAR-INS-33b3c115-2,0.1630582,1.0
174,CAR-INS-33b3c115-3,0.15214892,1.0
175,CAR-INS-33b3c115-4,0.17114773,2.0
176,NIM-UNI-36e12f95-1,0.32315752,2.0
177,NIM-UNI-36e12f95-2,0.40196005,3.0
178,NIM-UNI-36e12f95-3,0.21381961,2.0
179,NIM-UNI-36e12f95-4,0.30766445,3.0
180,NIM-UNI-36e12f95-5,0.24344023,2.0
181,ADA-UNI-f8e79267-1,0.20512785,1.0
182,ADA-UNI-f8e79267-2,0.17661458,1.0
183,ADA-UNI-f8e79267-3,0.32217574,2.0
184,ADA-UNI-f8e79267-4,0.15000753,0.0
185,ADA-UNI-f8e79267-5,0.0,0.0
186,ADA-UNI-f8e79267-6,0.29978207,2.0
187,ADA-UNI-f8e79267-7,0.2043441,1.0
188,ADA-UNI-f8e79267-8,0.22129121,1.0
189,ADA-UNI-f8e79267-9,0.3214159,2.0
190,ADA-UNI-f8e79267-10,0.20138681,1.0
191,ADA-UNI-f8e79267-11,0.22246848,1.0
192,ADA-UNI-f8e79267-12,0.24907789,1.0
193,SAL-INS-3161d1be-1,0.6039298,
194,SAL-INS-3161d1be-2,0.3781102,3.0
195,SAL-INS-3161d1be-3,0.40150738,3.0
196,SAL-INS-3161d1be-4,0.38082632,3.0
197,JAV-UNI-4503e1e6-1,0.66190374,
198,JOR-UNI-2fc98d0b-1,0.17325865,2.0
199,JOR-UNI-2fc98d0b-2,0.16283435,2.0
200,JOR-UNI-2fc98d0b-3,0.21911062,2.0
201,JOR-UNI-2fc98d0b-4,0.23891209,2.0
202,JOR-UNI-2fc98d0b-5,0.20863742,2.0
203,JOR-UNI-2fc98d0b-6,0.08520899,1.0
204,JOR-UNI-2fc98d0b-8,0.12986681,1.0
205,JOR-UNI-2fc98d0b-9,0.1320349,1.0
206,JOR-UNI-2fc98d0b-10,0.1327534,1.0
207,JOR-UNI-2fc98d0b-11,0.13153917,1.0
208,JOR-UNI-2fc98d0b-12,0.1336956,1.0
209,JOR-UNI-2fc98d0b-13,0.13195497,1.0
210,JOR-UNI-2fc98d0b-14,0.24167813,2.0
211,JOR-UNI-2fc98d0b-15,0.13317809,1.0
212,JOR-UNI-2fc98d0b-16,0.16846575,2.0
213,JOR-UNI-2fc98d0b-17,0.13200223,1.0
214,ANT-STE-dbb91f63-1,0.08636862,1.0
215,ANT-STE-dbb91f63-2,0.08649975,1.0
216,ANT-STE-dbb91f63-3,0.085606016,1.0
217,KIM-UNI-2ee5d8f9-1,0.0,0.0
218,ANT-LOU-17aa1493-1,0.085772164,0.0
219,ANT-LOU-17aa1493-2,0.0,0.0
220,ANT-LOU-17aa1493-3,0.0,0.0
221,KIM-UNI-7d12df64-1,0.090098016,1.0
222,KIM-UNI-7d12df64-2,0.08927326,1.0
223,KIM-UNI-7d12df64-3,0.112544596,1.0
224,KIM-UNI-7d12df64-4,0.15690574,1.0
225,SAM-UNK-903735bd-1,0.24856502,3.0
226,ELE-IMP-dfb36048-1,0.13844849,1.0
