,Id,SMILES,IC50,Structure ID,pdb_entry,prior,category,initial_screen,is_covalent,purchasable,inspired_by
19,DAR-DIA-23aa0b97-3,N#Cc1cccc(NC(=O)Cc2cncc(N)c2)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
20,DAR-DIA-23aa0b97-4,N#Cc1cccc(NC(=O)Cc2cccnc2)c1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
21,DAR-DIA-23aa0b97-5,N#Cc1cccc(NC(=O)Nc2cccnc2)c1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
22,DAR-DIA-23aa0b97-6,N#Cc1cncc(NC(=O)Cc2cccnc2)c1,,x10178,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
23,DAR-DIA-23aa0b97-7,N#Cc1cncc(NC(=O)Cc2cncc(N)c2)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
24,DAR-DIA-23aa0b97-8,N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,54.3,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
25,DAR-DIA-23aa0b97-9,N#Cc1cncc(NC(=O)Nc2cncc(N)c2)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
26,DAR-DIA-23aa0b97-10,N#Cc1cncc(NC(=O)Nc2c[nH]c3ncccc23)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
27,DAR-DIA-23aa0b97-11,N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,63.6,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
28,DAR-DIA-23aa0b97-12,O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-18,AAR-POS-d2a4d1df-20,AAR-POS-d2a4d1df-21"
