,Id,Ordered,Made,Assayed,Maker,order_date,shipment_date
106,WAR-XCH-eb7b662f-2,False,False,False,enamine,2020-03-31,2020-04-17
107,WAR-XCH-eb7b662f-3,False,False,False,,,
108,WAR-XCH-eb7b662f-4,False,False,False,enamine,2020-03-31,2020-07-21
109,WAR-XCH-eb7b662f-5,False,False,False,enamine,2020-03-31,2020-04-27
110,WAR-XCH-eb7b662f-6,False,False,False,,,
111,WAR-XCH-6eb0722e-1,False,False,False,,,
112,WAR-XCH-6eb0722e-2,False,False,False,,,
113,WAR-XCH-6eb0722e-3,False,False,False,,,
114,WAR-XCH-6eb0722e-4,False,False,False,,,
115,WAR-XCH-6eb0722e-5,False,False,False,,,
116,WAR-XCH-6eb0722e-6,False,False,False,,,
117,ANT-DIA-045cfdc4-1,False,False,False,,,
118,ANT-DIA-045cfdc4-2,False,False,False,,,
119,ANT-DIA-045cfdc4-3,False,False,False,,,
120,ANT-DIA-045cfdc4-4,False,False,False,,,
121,ANT-DIA-045cfdc4-5,False,False,False,,,
122,TRY-UNI-714a760b-1,False,False,False,enamine,2020-03-31,
123,TRY-UNI-714a760b-2,False,False,False,enamine,2020-03-31,
124,TRY-UNI-714a760b-3,False,False,False,enamine,2020-03-31,2020-08-05
125,ALE-HEI-f28a35b5-1,False,False,False,enamine,2020-03-31,2020-04-27
126,TRY-UNI-714a760b-5,False,False,False,enamine,2020-03-31,2020-04-17
127,TRY-UNI-714a760b-6,False,False,False,enamine,2020-03-31,2020-04-09
128,TRY-UNI-714a760b-7,False,False,False,enamine,2020-03-31,
129,TRY-UNI-714a760b-8,False,False,False,enamine,2020-03-31,
130,TRY-UNI-714a760b-9,False,False,False,enamine,2020-03-31,
131,ALE-HEI-f28a35b5-6,False,False,False,enamine,2020-05-17,
132,ALE-HEI-f28a35b5-7,False,False,False,enamine,2020-05-17,
133,TRY-UNI-714a760b-12,False,False,False,enamine,2020-03-31,2020-04-17
134,TRY-UNI-714a760b-13,False,False,False,enamine,2020-05-17,
135,TRY-UNI-714a760b-14,False,False,False,enamine,2020-03-31,
136,TRY-UNI-714a760b-15,False,False,False,enamine,2020-03-31,
137,TRY-UNI-714a760b-16,False,False,False,enamine,2020-03-31,2020-06-01
138,TRY-UNI-714a760b-17,False,False,False,enamine,2020-05-17,
139,TRY-UNI-714a760b-18,False,False,False,enamine,2020-03-31,2020-04-09
140,TRY-UNI-714a760b-19,False,False,False,enamine,2020-03-31,2020-08-05
141,TRY-UNI-714a760b-20,False,False,False,enamine,2020-03-31,2020-04-17
142,TRY-UNI-714a760b-21,False,False,False,enamine,2020-03-31,
143,TRY-UNI-714a760b-22,False,False,False,enamine,2020-03-31,2020-04-17
144,TRY-UNI-714a760b-23,False,False,False,enamine,2020-05-17,
145,TRY-UNI-714a760b-24,False,False,False,enamine,2020-03-31,2020-04-17
146,TRY-UNI-1fd04853-1,False,False,False,,,
147,TRY-UNI-1fd04853-2,False,False,False,,,
148,TRY-UNI-1fd04853-3,False,False,False,,,
